,Item_name,Item number 1,Item number 2,Item number 3
333,Live simply deer t-shirt,Live simply deer t-shirt|уровень: 0.830653| id: 71,Live simply pelican t-shirt|уровень: 0.515921| id: 335,Dala horse t-shirt|уровень: 0.429229| id: 176
334,Live simply guitar t-shirt,Live simply guitar t-shirt|уровень: 0.887576| id: 72,Trampoli t-shirt|уровень: 0.426192| id: 275,Live simply pelican t-shirt|уровень: 0.426070| id: 335
335,Live simply pelican t-shirt,Live simply deer t-shirt|уровень: 0.515921| id: 333,North coast t-shirt|уровень: 0.453531| id: 287,Trampoli t-shirt|уровень: 0.441295| id: 275
336,L/s gravi-tee,Gravitee tank|уровень: 0.343510| id: 182,Astrid wrap|уровень: 0.191208| id: 310,Mandeville hoody|уровень: 0.159376| id: 197
337,Ultra hw mountaineering socks,Mw hiking crew socks|уровень: 0.456647| id: 456,Lw hiking crew socks|уровень: 0.301741| id: 80,Lw everyday socks|уровень: 0.285620| id: 382
338,Ultra lw endurance ped socks,Lw endurance quarter socks|уровень: 0.616365| id: 79,Lw endurance ankle socks|уровень: 0.564978| id: 78,Lw hiking crew socks|уровень: 0.284738| id: 80
339,Cap 1 graphic t-shirt,Cap 1 graphic t-shirt|уровень: 0.698879| id: 19,Cap 1 t-shirt|уровень: 0.626649| id: 171,Cap 1 graphic crew|уровень: 0.571096| id: 487
340,Cap 1 scoop,Cap 1 crew|уровень: 0.584329| id: 486,Cap 1 t-shirt|уровень: 0.544387| id: 171,Cap 1 t-shirt|уровень: 0.484038| id: 20
341,Riverwalker vest,Guidewater vest|уровень: 0.492140| id: 52,Pack vest|уровень: 0.090424| id: 367,Double haul|уровень: 0.071026| id: 471
342,Rock guide pants,Rock guide shorts|уровень: 0.377170| id: 114,Rock guide pants|уровень: 0.366258| id: 212,Rock guide shorts|уровень: 0.161752| id: 213
343,Velocity visor,Velocity cap|уровень: 0.500125| id: 148,Logo visor|уровень: 0.454228| id: 448,Bimini cap|уровень: 0.360329| id: 478
344,Versatiliti polo,Versatiliti tee|уровень: 0.332046| id: 345,Versatili-tee|уровень: 0.203604| id: 295,Versatiliti tank|уровень: 0.169451| id: 297
345,Versatiliti tee,Versatili-tee|уровень: 0.335439| id: 295,Versatiliti polo|уровень: 0.332046| id: 344,Versatiliti tank|уровень: 0.182453| id: 297
346,Vintage logo pkt t-shirt,Organic logo t-shirt|уровень: 0.410674| id: 97,The more you know t-shirt|уровень: 0.392677| id: 138,Mountain island t-shirt|уровень: 0.387767| id: 94
347,Runshade t-shirt,Runshade t-shirt|уровень: 0.777504| id: 244,Runshade top|уровень: 0.490587| id: 116,L/s runshade top|уровень: 0.418723| id: 476
348,Shelled insulator pants,Insulator pants|уровень: 0.252558| id: 56,Alpine guide pants|уровень: 0.086714| id: 158,Rock guide pants|уровень: 0.078134| id: 342
349,Shop pants,Shop pants|уровень: 0.993439| id: 118,Shop pants|уровень: 0.982248| id: 117,Custodian pants|уровень: 0.124125| id: 31
350,Rain shadow pants,Rain shadow pants|уровень: 0.998546| id: 106,Rain shadow jkt|уровень: 0.384061| id: 211,Rain shadow jkt|уровень: 0.381580| id: 381
351,Rain shadow trench coat,Rain shadow pants|уровень: 0.255788| id: 106,Rain shadow pants|уровень: 0.255417| id: 350,Rain shadow jkt|уровень: 0.232815| id: 211
352,Simple guide pants,Simple guide pants|уровень: 0.776623| id: 216,Rock guide pants|уровень: 0.159671| id: 342,Simple guide jkt|уровень: 0.134212| id: 215
353,Single shot,Daily grind|уровень: 0.782523| id: 463,Lightwire brief|уровень: 0.249302| id: 436,Crosstown|уровень: 0.230474| id: 30
354,Watermaster waders,Watermaster waders|уровень: 0.989958| id: 152,Watermaster waders|уровень: 0.989845| id: 153,Watermaster waders|уровень: 0.986825| id: 366
355,S/s a/c shirt,S/s puckerware shirt|уровень: 0.223129| id: 126,S/s a/c shirt|уровень: 0.221857| id: 224,Sleeveless a/c shirt|уровень: 0.179227| id: 217
356,S/s casitas shirt,Fezzman shirt|уровень: 0.296703| id: 39,S/s a/c shirt|уровень: 0.146446| id: 355,S/s pragmatist shirt|уровень: 0.121820| id: 125
357,S/s el ray shirt,L/s el ray shirt|уровень: 0.709070| id: 450,Fezzman shirt|уровень: 0.126034| id: 39,Sun shelter shirt|уровень: 0.109071| id: 227
358,Cap 2 cap sleeve,Cap 2 t-shirt|уровень: 0.762489| id: 359,Cap 2 t-shirt|уровень: 0.668994| id: 21,Cap 2 crew|уровень: 0.614051| id: 496
359,Cap 2 t-shirt,Cap 2 cap sleeve|уровень: 0.762489| id: 358,Cap 2 t-shirt|уровень: 0.736129| id: 21,Cap 2 crew|уровень: 0.651154| id: 496
360,S/s rashguard,L/s rashguard|уровень: 0.930080| id: 76,L/s hooded rashguard|уровень: 0.604728| id: 74,S/s rashguard|уровень: 0.372025| id: 225
361,S/s sol patrol shirt,L/s sol patrol shirt|уровень: 0.664328| id: 477,S/s sol patrol shirt|уровень: 0.159050| id: 226,Sol patrol shirt|уровень: 0.118228| id: 256
362,S/s squeaky clean polo shirt,Reversible phone home|уровень: 0.176528| id: 400,Hooded monk sweatshirt|уровень: 0.140095| id: 403,Simply organic polo|уровень: 0.135583| id: 247
363,Nine trails vest,Nine trails vest|уровень: 0.997683| id: 209,Nine trails jkt|уровень: 0.459271| id: 280,Nine trails jkt|уровень: 0.450653| id: 95
364,Organic cotton boxers,Cap 1 boxer briefs|уровень: 0.133286| id: 18,Active boxer briefs|уровень: 0.088373| id: 493,Active classic boxers|уровень: 0.087667| id: 0
365,Organic cotton under tee,Fitz roy study t-shirt|уровень: 0.269528| id: 488,Planer t-shirt|уровень: 0.240475| id: 101,Yosemite essence t-shirt|уровень: 0.240354| id: 238
366,Watermaster waders,Watermaster waders|уровень: 0.987458| id: 152,Watermaster waders|уровень: 0.987346| id: 153,Watermaster waders|уровень: 0.986825| id: 354
367,Pack vest,Hip chest pack|уровень: 0.177166| id: 54,Double haul|уровень: 0.170928| id: 471,Lightwire|уровень: 0.122722| id: 435
368,Stand up shorts-5 in.,Stand up shorts-5 in.|уровень: 1.000000| id: 368,All-wear shorts|уровень: 0.108394| id: 499,All-wear cargo shorts|уровень: 0.099463| id: 498
369,Stand up shorts-7 in.,Stand up shorts-5 in.|уровень: 1.000000| id: 368,All-wear shorts|уровень: 0.108394| id: 499,All-wear cargo shorts|уровень: 0.099463| id: 498
370,Sticks 'n stones morocco poster,Going big in b.c. poster|уровень: 0.841103| id: 47,Wyoming climbing poster|уровень: 0.839334| id: 237,"Wild steelhead, alaska poster|уровень: 0.810071| id: 395"
371,Peregrine t-shirt,Fish frenzy t-shirt|уровень: 0.461839| id: 40,Trout head t-shirt|уровень: 0.367448| id: 332,Live simply pelican t-shirt|уровень: 0.331112| id: 335
372,Permit silhouette t-shirt,Trout silhouette t-shirt|уровень: 0.409433| id: 143,Trout head t-shirt|уровень: 0.353645| id: 332,Yosemite essence t-shirt|уровень: 0.338824| id: 238
373,Pique fleece 1/4 zip,Aravis 1/4 zip|уровень: 0.108755| id: 308,Araveto 1/4 zip jkt|уровень: 0.075304| id: 458,Better sweater jkt|уровень: 0.073079| id: 13
374,Pique vitaliti polo shirt,Polo shirt|уровень: 0.165229| id: 375,Vitaliti vee|уровень: 0.083231| id: 322,Vitaliti tank|уровень: 0.079470| id: 235
375,Polo shirt,Pique vitaliti polo shirt|уровень: 0.165229| id: 374,Simply organic polo|уровень: 0.119826| id: 247,Simply organic tank|уровень: 0.101710| id: 248
376,Quiet please t-shirt,World according to bikers t-shir|уровень: 0.431796| id: 150,Trout head t-shirt|уровень: 0.274301| id: 332,Future of the earth t-shirt|уровень: 0.269369| id: 422
377,R1 full-zip jkt,R1 full-zip jkt|уровень: 0.978969| id: 262,R1 hoody|уровень: 0.362056| id: 104,R1 p/o|уровень: 0.254232| id: 263
378,Lw guide pants,Lw guide pants|уровень: 0.928372| id: 383,Rock guide shorts|уровень: 0.120983| id: 114,Simple guide pants|уровень: 0.111542| id: 352
379,Lw r4 jkt,Lw r4 jkt|уровень: 0.942544| id: 81,R1 p/o|уровень: 0.093195| id: 105,R2 jkt|уровень: 0.091862| id: 380
380,R2 jkt,R2 jkt|уровень: 0.926609| id: 210,Lw r4 jkt|уровень: 0.105022| id: 81,Lw r4 jkt|уровень: 0.091862| id: 379
381,Rain shadow jkt,Rain shadow jkt|уровень: 0.933376| id: 211,Rain shadow pants|уровень: 0.382136| id: 106,Rain shadow pants|уровень: 0.381580| id: 350
382,Lw everyday socks,Ultra hw mountaineering socks|уровень: 0.285620| id: 337,Lw hiking crew liner socks|уровень: 0.274919| id: 384,Ulw hiking crew socks|уровень: 0.269788| id: 147
383,Lw guide pants,Lw guide pants|уровень: 0.928372| id: 378,Rock guide shorts|уровень: 0.128835| id: 114,Rock guide pants|уровень: 0.120328| id: 212
384,Lw hiking crew liner socks,Lw everyday socks|уровень: 0.274919| id: 382,Lw hiking crew socks|уровень: 0.266670| id: 80,Lw endurance ankle socks|уровень: 0.259882| id: 78
385,Storm light jkt,Storm light jkt|уровень: 0.951259| id: 266,All-time shell|уровень: 0.121356| id: 497,Stretch ascent jkt|уровень: 0.106052| id: 267
386,Stretch ascent jkt,Stretch ascent jkt|уровень: 0.935622| id: 267,Microburst jkt|уровень: 0.116312| id: 414,Storm light jkt|уровень: 0.107799| id: 266
387,Lw sun hoody,Sun mask|уровень: 0.140727| id: 410,Sunshade hoody|уровень: 0.112006| id: 418,Baby sunshade top|уровень: 0.092370| id: 10
388,Lw travel courier,Lw travel pack|уровень: 0.389023| id: 83,Lw travel duffel|уровень: 0.369153| id: 82,Lw travel tote|уровень: 0.319955| id: 393
389,Reg fit organic ctn jeans-short,Reg fit organic ctn jeans-long|уровень: 0.985474| id: 107,Reg fit organic ctn jeans-reg|уровень: 0.985474| id: 108,Relax fit organic ctn jeans-shor|уровень: 0.309985| id: 109
390,Relax fit organic ctn jeans-long,Relax fit organic ctn jeans-shor|уровень: 0.984554| id: 109,Relax fit organic ctn jeans-reg|уровень: 0.969347| id: 391,Reg fit organic ctn jeans-long|уровень: 0.330497| id: 107
391,Relax fit organic ctn jeans-reg,Relax fit organic ctn jeans-shor|уровень: 0.984554| id: 109,Relax fit organic ctn jeans-long|уровень: 0.969347| id: 390,Reg fit organic ctn jeans-reg|уровень: 0.330497| id: 108
392,Lw travel sling,Lw travel courier|уровень: 0.179771| id: 388,Lw travel tote|уровень: 0.176865| id: 393,Lw travel pack|уровень: 0.159416| id: 83
393,Lw travel tote,Lw travel pack|уровень: 0.500075| id: 83,Lw travel duffel|уровень: 0.375670| id: 82,Lw travel courier|уровень: 0.319955| id: 388
394,Wavefarer board shorts-21 in.,Twenty-three's board shorts|уровень: 0.667891| id: 145,Minimalist board shorts-19 in.|уровень: 0.506408| id: 91,River shorts|уровень: 0.167320| id: 401
395,"Wild steelhead, alaska poster",Going big in b.c. poster|уровень: 0.825701| id: 47,Wyoming climbing poster|уровень: 0.823965| id: 237,Sticks 'n stones morocco poster|уровень: 0.810071| id: 370
396,Wind path t-shirt,Iceberg t-shirt|уровень: 0.413128| id: 55,Squid t-shirt|уровень: 0.403650| id: 123,Flying fish 2 t-shirt|уровень: 0.380682| id: 490
397,Marlwalker,Riverwalker|уровень: 0.699878| id: 419,Riverwalker|уровень: 0.574723| id: 112,Riverwalker|уровень: 0.567188| id: 113
398,Marlwalker pants,Paddler board shorts|уровень: 0.121261| id: 99,Guidewater shorts|уровень: 0.108345| id: 51,Guidewater pants|уровень: 0.096085| id: 443
399,Retro grade shorts,Retro grade pants|уровень: 0.595856| id: 111,Delivery shorts|уровень: 0.087355| id: 33,Compound cargo shorts|уровень: 0.083636| id: 452
400,Reversible phone home,Hooded monk sweatshirt|уровень: 0.177075| id: 403,S/s squeaky clean polo shirt|уровень: 0.176528| id: 362,Cotton fleece hoody|уровень: 0.125496| id: 278
401,River shorts,Baggies shorts|уровень: 0.250181| id: 11,Minimalist board shorts-19 in.|уровень: 0.185234| id: 91,Twenty-three's board shorts|уровень: 0.174010| id: 145
402,Hip pack,Pocket pack|уровень: 0.286333| id: 103,Atom|уровень: 0.267980| id: 6,Lightwire|уровень: 0.179725| id: 435
403,Hooded monk sweatshirt,Reversible phone home|уровень: 0.177075| id: 400,S/s squeaky clean polo shirt|уровень: 0.140095| id: 362,Micro d-luxe cardigan|уровень: 0.106637| id: 416
404,Houdini full-zip jkt,Houdini full-zip jkt|уровень: 0.957925| id: 292,Nine trails jkt|уровень: 0.094460| id: 280,Nine trails jkt|уровень: 0.093340| id: 95
405,Merino 2 bottoms,Merino 2 bottoms|уровень: 0.825274| id: 265,Merino 2 t-shirt|уровень: 0.652360| id: 89,Merino 2 t-shirt|уровень: 0.645377| id: 268
406,Merino 2 crew,Merino 2 t-shirt|уровень: 0.737791| id: 89,Merino 2 crew|уровень: 0.631101| id: 201,Merino 2 t-shirt|уровень: 0.615160| id: 268
407,Baggies shorts,Girl's baggies shorts|уровень: 0.345252| id: 427,Baby baggies shorts|уровень: 0.237595| id: 465,Baby baggies apron dress|уровень: 0.170051| id: 464
408,Boardie shorts,Girl's boardie shorts|уровень: 0.642195| id: 45,Girl's boardie capris|уровень: 0.164617| id: 44,Duway skirt|уровень: 0.088846| id: 283
409,Sun glove,Girl's beach skirt|уровень: 0.076037| id: 428,L/s hooded rashguard|уровень: 0.075656| id: 74,L/s rashguard|уровень: 0.074708| id: 194
410,Sun mask,Lw sun hoody|уровень: 0.140727| id: 387,Runshade t-shirt|уровень: 0.091001| id: 244,Runshade t-shirt|уровень: 0.087574| id: 347
411,Sunshade shirt,Sunshade hoody|уровень: 0.102031| id: 418,Baby sunshade top|уровень: 0.094708| id: 10,Runshade t-shirt|уровень: 0.094507| id: 347
412,Cap 3 crew,Cap 3 bottoms|уровень: 0.451042| id: 60,Cap 1 graphic tee|уровень: 0.149222| id: 59,Cap 2 crew|уровень: 0.142942| id: 496
413,Duality jkt,Baby duality jkt|уровень: 0.508156| id: 468,Torrentshell jkt|уровень: 0.099800| id: 66,Micro puff vest|уровень: 0.060753| id: 203
414,Microburst jkt,Rain shadow jkt|уровень: 0.171909| id: 381,Ascensionist jkt|уровень: 0.169408| id: 5,All-time shell|уровень: 0.157159| id: 301
415,Micro puff vest,Micro puff vest|уровень: 0.935567| id: 203,Down sweater vest|уровень: 0.153292| id: 34,Down sweater|уровень: 0.145721| id: 178
416,Micro d-luxe cardigan,Baby micro d-luxe cardigan|уровень: 0.377210| id: 8,El cap jkt|уровень: 0.116663| id: 179,Hooded monk sweatshirt|уровень: 0.106637| id: 403
417,Rashguard,L/s rashguard|уровень: 0.198385| id: 194,L/s rashguard|уровень: 0.188601| id: 76,S/s rashguard|уровень: 0.188298| id: 360
418,Sunshade hoody,Baby sunshade top|уровень: 0.368855| id: 10,Migration hemp shirt|уровень: 0.152619| id: 90,Lw sun hoody|уровень: 0.112006| id: 387
419,Riverwalker,Riverwalker|уровень: 0.908747| id: 112,Riverwalker|уровень: 0.892922| id: 113,Marlwalker|уровень: 0.699878| id: 397
420,Freewheeler max,Freewheeler|уровень: 0.808340| id: 41,Mlc wheelie|уровень: 0.182453| id: 93,Mlc|уровень: 0.125181| id: 429
421,Friction belt,Travel belt|уровень: 0.456336| id: 141,Tech web belt|уровень: 0.301909| id: 136,O web belt|уровень: 0.205746| id: 98
422,Future of the earth t-shirt,City by the sea t-shirt|уровень: 0.399615| id: 25,Flying fish 2 t-shirt|уровень: 0.337214| id: 490,Fish frenzy t-shirt|уровень: 0.335504| id: 40
423,Torrentshell pants,Torrentshell jkt|уровень: 0.232277| id: 66,Torrentshell pants|уровень: 0.164162| id: 140,Torrentshell pants|уровень: 0.163404| id: 274
424,Trim brim hat,Baby sun bucket hat|уровень: 0.377305| id: 9,Girl's baggies shorts|уровень: 0.164142| id: 427,Bucket hat|уровень: 0.144782| id: 16
425,Trucker hat,Trucker hat|уровень: 0.498094| id: 144,Velocity visor|уровень: 0.083749| id: 343,Lw everyday socks|уровень: 0.071450| id: 382
426,Gi ii zip-off pants,Gi ii pants|уровень: 0.526590| id: 42,Gi ii shorts|уровень: 0.375450| id: 43,Borderless trek zip-off pants|уровень: 0.195126| id: 484
427,Girl's baggies shorts,Baggies shorts|уровень: 0.345252| id: 407,Baby baggies shorts|уровень: 0.314086| id: 465,Baby baggies apron dress|уровень: 0.240740| id: 464
428,Girl's beach skirt,Girl's two-piece set|уровень: 0.182173| id: 434,Girl's t-back one piece|уровень: 0.105282| id: 433,Morning glory tights|уровень: 0.097999| id: 272
429,Mlc,Mlc wheelie|уровень: 0.314703| id: 93,Mlc burrito|уровень: 0.190179| id: 430,Lightwire brief|уровень: 0.161957| id: 436
430,Mlc burrito,Mlc|уровень: 0.190179| id: 429,Minimass|уровень: 0.186269| id: 92,Single shot|уровень: 0.157747| id: 353
431,Girl's live simply deer t-shirt,Girl's live simply seal t-shirt|уровень: 0.908067| id: 432,Gpiw classic t-shirt|уровень: 0.902774| id: 63,'73 logo t-shirt|уровень: 0.893343| id: 57
432,Girl's live simply seal t-shirt,Girl's live simply deer t-shirt|уровень: 0.908067| id: 431,Gpiw classic t-shirt|уровень: 0.898674| id: 63,'73 logo t-shirt|уровень: 0.889286| id: 57
433,Girl's t-back one piece,Girl's two-piece set|уровень: 0.173030| id: 434,Girl's beach skirt|уровень: 0.105282| id: 428,Solid bibiana 1 piece|уровень: 0.103640| id: 220
434,Girl's two-piece set,Girl's beach skirt|уровень: 0.182173| id: 428,Girl's t-back one piece|уровень: 0.173030| id: 433,Print bibiana tankini|уровень: 0.094838| id: 240
435,Lightwire,Lightwire brief|уровень: 0.368495| id: 436,Pocket pack|уровень: 0.308761| id: 103,Crosstown|уровень: 0.307259| id: 30
436,Lightwire brief,Lightwire|уровень: 0.368495| id: 435,Crosstown|уровень: 0.309688| id: 30,Single shot|уровень: 0.249302| id: 353
437,Guide jkt,Guide jkt|уровень: 0.909539| id: 183,Ascensionist jkt|уровень: 0.251258| id: 5,Microburst jkt|уровень: 0.127617| id: 414
438,Guidewater duffle,Guidewater duffle|уровень: 0.816528| id: 49,Stormfront pack|уровень: 0.130537| id: 130,Pack vest|уровень: 0.074922| id: 367
439,Cap 3 bottoms,Cap 3 bottoms|уровень: 0.707279| id: 441,Cap 3 crew|уровень: 0.632833| id: 442,Cap 3 crew|уровень: 0.608631| id: 440
440,Cap 3 crew,Cap 3 crew|уровень: 0.784874| id: 442,Cap 3 zip neck|уровень: 0.687407| id: 23,Cap 3 bottoms|уровень: 0.608631| id: 439
441,Cap 3 bottoms,Cap 3 bottoms|уровень: 0.707279| id: 439,Cap 3 crew|уровень: 0.540287| id: 440,Cap 3 crew|уровень: 0.515970| id: 442
442,Cap 3 crew,Cap 3 crew|уровень: 0.784874| id: 440,Cap 3 zip neck|уровень: 0.641206| id: 23,Cap 3 bottoms|уровень: 0.632833| id: 439
443,Guidewater pants,Guidewater shorts|уровень: 0.863315| id: 51,Marlwalker pants|уровень: 0.096085| id: 398,Solimar shorts|уровень: 0.086561| id: 223
444,Guidewater shirt,Guidewater jkt|уровень: 0.102310| id: 50,Girl's baggies shorts|уровень: 0.099019| id: 427,Baby baggies shorts|уровень: 0.094936| id: 465
445,Cap 4 zip neck,Cap 4 zip neck|уровень: 0.710508| id: 276,Cap 4 bottoms|уровень: 0.449686| id: 24,Cap 4 bottoms|уровень: 0.436022| id: 175
446,Caribou north wind t-shirt,Iceberg t-shirt|уровень: 0.388540| id: 55,Cerro torre one t-shirt|уровень: 0.380539| id: 447,Mountain island t-shirt|уровень: 0.371981| id: 94
447,Cerro torre one t-shirt,Rockpile t-shirt|уровень: 0.512497| id: 115,Squid t-shirt|уровень: 0.441466| id: 123,Iceberg t-shirt|уровень: 0.430504| id: 55
448,Logo visor,Velocity visor|уровень: 0.454228| id: 343,Velocity cap|уровень: 0.433629| id: 148,Bimini cap|уровень: 0.402789| id: 478
449,Long haul runners,Ultra shorts|уровень: 0.417437| id: 146,Nine trails shorts|уровень: 0.403285| id: 208,Nine trails shorts|уровень: 0.359433| id: 96
450,L/s el ray shirt,S/s el ray shirt|уровень: 0.709070| id: 357,Fezzman shirt|уровень: 0.109574| id: 39,Sun shelter shirt|уровень: 0.089282| id: 227
451,Compound cargo pants,Compound cargo pants|уровень: 0.995320| id: 26,Compound cargo pants|уровень: 0.987130| id: 27,Compound cargo shorts|уровень: 0.385135| id: 452
452,Compound cargo shorts,Compound cargo pants|уровень: 0.385194| id: 26,Compound cargo pants|уровень: 0.385135| id: 451,Compound cargo pants|уровень: 0.382025| id: 27
453,Continental pants,Continental shorts|уровень: 0.433241| id: 28,Inter-continental shorts|уровень: 0.163707| id: 305,Inter-continental capris|уровень: 0.157967| id: 186
454,Guidewater waders,Guidewater waders|уровень: 0.979668| id: 467,Watermaster waders|уровень: 0.517320| id: 354,Watermaster waders|уровень: 0.513619| id: 152
455,Critical mass,Half mass|уровень: 0.879490| id: 485,Minimass|уровень: 0.175407| id: 92,Daily grind|уровень: 0.139346| id: 463
456,Mw hiking crew socks,Ultra hw mountaineering socks|уровень: 0.456647| id: 337,Lw hiking crew socks|уровень: 0.430619| id: 80,Ulw hiking crew socks|уровень: 0.326440| id: 147
457,Nano puff p/o,Nano puff p/o|уровень: 0.824133| id: 279,Micro puff vest|уровень: 0.144476| id: 415,Micro puff vest|уровень: 0.144116| id: 203
458,Araveto 1/4 zip jkt,Araveto jkt|уровень: 0.417581| id: 460,Araveto hooded jkt|уровень: 0.356004| id: 459,Aravis 1/4 zip|уровень: 0.145934| id: 308
459,Araveto hooded jkt,Araveto jkt|уровень: 0.403434| id: 460,Araveto 1/4 zip jkt|уровень: 0.356004| id: 458,Aravis hoody|уровень: 0.176102| id: 159
460,Araveto jkt,Araveto 1/4 zip jkt|уровень: 0.417581| id: 458,Araveto hooded jkt|уровень: 0.403434| id: 459,Aravis hoody|уровень: 0.128786| id: 159
461,Custodian pants,Custodian pants|уровень: 0.974804| id: 31,Custodian pants|уровень: 0.974502| id: 462,All-wear cargo shorts|уровень: 0.364232| id: 498
462,Custodian pants,Custodian pants|уровень: 0.990628| id: 31,Custodian pants|уровень: 0.974502| id: 461,All-wear cargo shorts|уровень: 0.370145| id: 498
463,Daily grind,Single shot|уровень: 0.782523| id: 353,Lightwire brief|уровень: 0.242398| id: 436,Crosstown|уровень: 0.228802| id: 30
464,Baby baggies apron dress,Baby baggies shorts|уровень: 0.340890| id: 465,Girl's baggies shorts|уровень: 0.240740| id: 427,Baggies shorts|уровень: 0.170051| id: 407
465,Baby baggies shorts,Baby baggies apron dress|уровень: 0.340890| id: 464,Girl's baggies shorts|уровень: 0.314086| id: 427,Baggies shorts|уровень: 0.237595| id: 407
466,Baby circus t-shirt,Baby live simply deer t-shirt|уровень: 0.446800| id: 469,Baby live simply seal t-shirt|уровень: 0.427318| id: 470,Baby tag you're it t-shirt|уровень: 0.387180| id: 475
467,Guidewater waders,Guidewater waders|уровень: 0.979668| id: 454,Watermaster waders|уровень: 0.516629| id: 366,Watermaster waders|уровень: 0.514837| id: 152
468,Baby duality jkt,Duality jkt|уровень: 0.508156| id: 413,Torrentshell jkt|уровень: 0.099604| id: 66,Traverse jkt|уровень: 0.075226| id: 231
469,Baby live simply deer t-shirt,Baby live simply seal t-shirt|уровень: 0.866468| id: 470,Baby circus t-shirt|уровень: 0.446800| id: 466,Baby tag you're it t-shirt|уровень: 0.373707| id: 475
470,Baby live simply seal t-shirt,Baby live simply deer t-shirt|уровень: 0.866468| id: 469,Baby circus t-shirt|уровень: 0.427318| id: 466,Baby tag you're it t-shirt|уровень: 0.357412| id: 475
471,Double haul,Hip chest pack|уровень: 0.394063| id: 54,Pack vest|уровень: 0.170928| id: 367,Stretch wading belt|уровень: 0.100805| id: 132
472,Down sweater,Down sweater|уровень: 0.880004| id: 178,Down sweater vest|уровень: 0.392669| id: 34,Down sweater vest|уровень: 0.383240| id: 281
473,Baby synch cardigan,Baby synch vest|уровень: 0.303092| id: 474,Synch marsupial|уровень: 0.300266| id: 65,Synch vest|уровень: 0.118792| id: 229
474,Baby synch vest,Baby synch cardigan|уровень: 0.303092| id: 473,Synch marsupial|уровень: 0.294084| id: 65,Synch vest|уровень: 0.151969| id: 229
475,Baby tag you're it t-shirt,Baby circus t-shirt|уровень: 0.387180| id: 466,Baby live simply deer t-shirt|уровень: 0.373707| id: 469,Baby live simply seal t-shirt|уровень: 0.357412| id: 470
476,L/s runshade top,Runshade top|уровень: 0.703636| id: 116,Runshade t-shirt|уровень: 0.474912| id: 244,L/s runshade top|уровень: 0.470912| id: 195
477,L/s sol patrol shirt,S/s sol patrol shirt|уровень: 0.664328| id: 361,S/s sol patrol shirt|уровень: 0.138176| id: 226,Sol patrol shirt|уровень: 0.119417| id: 256
478,Bimini cap,Logo visor|уровень: 0.402789| id: 448,Velocity visor|уровень: 0.360329| id: 343,Velocity cap|уровень: 0.337269| id: 148
479,Borderless messenger shorts,Borderless trek pants|уровень: 0.572937| id: 483,Borderless trek zip-off pants|уровень: 0.447010| id: 484,Borderless shorts-7 in.|уровень: 0.433655| id: 15
480,Duck pants,Duck pants|уровень: 0.979733| id: 36,Duck pants|уровень: 0.979490| id: 481,Duck shorts|уровень: 0.267954| id: 482
481,Duck pants,Duck pants|уровень: 0.992493| id: 36,Duck pants|уровень: 0.979490| id: 480,Duck shorts|уровень: 0.271444| id: 482
482,Duck shorts,Duck pants|уровень: 0.271512| id: 36,Duck pants|уровень: 0.271444| id: 481,Duck pants|уровень: 0.267954| id: 480
483,Borderless trek pants,Borderless messenger shorts|уровень: 0.572937| id: 479,Borderless trek zip-off pants|уровень: 0.571235| id: 484,Borderless shorts-7 in.|уровень: 0.443933| id: 15
484,Borderless trek zip-off pants,Borderless trek pants|уровень: 0.571235| id: 483,Borderless messenger shorts|уровень: 0.447010| id: 479,Borderless shorts-11 in.|уровень: 0.398745| id: 14
485,Half mass,Critical mass|уровень: 0.879490| id: 455,Minimass|уровень: 0.184545| id: 92,Lightwire brief|уровень: 0.152626| id: 436
486,Cap 1 crew,Cap 1 scoop|уровень: 0.584329| id: 340,Cap 1 t-shirt|уровень: 0.579353| id: 20,Cap 1 graphic crew|уровень: 0.579126| id: 487
487,Cap 1 graphic crew,Cap 1 graphic t-shirt|уровень: 0.676143| id: 19,Cap 1 t-shirt|уровень: 0.585118| id: 20,Cap 1 crew|уровень: 0.579126| id: 486
488,Fitz roy study t-shirt,Planer t-shirt|уровень: 0.359078| id: 101,Yosemite essence t-shirt|уровень: 0.307454| id: 238,North coast t-shirt|уровень: 0.304465| id: 287
489,Flyfishing the athabasca poster,Traversing auguille d'entreves|уровень: 0.844382| id: 331,Symmetry w16 poster|уровень: 0.764255| id: 318,Going big in b.c. poster|уровень: 0.751530| id: 47
490,Flying fish 2 t-shirt,Rockpile t-shirt|уровень: 0.399564| id: 115,Wind path t-shirt|уровень: 0.380682| id: 396,Cerro torre one t-shirt|уровень: 0.372702| id: 447
491,Freedom to roam t-shirt,Freedom to roam t-shirt|уровень: 1.000000| id: 491,World trout t-shirt|уровень: 0.213261| id: 151,Iceberg t-shirt|уровень: 0.190055| id: 55
492,'73 logo t-shirt,Text logo t-shirt|уровень: 0.418548| id: 137,Rockpile t-shirt|уровень: 0.417739| id: 115,Cerro torre one t-shirt|уровень: 0.409473| id: 447
493,Active boxer briefs,Cap 1 boxer briefs|уровень: 0.655374| id: 18,Active briefs|уровень: 0.380999| id: 494,Active classic boxers|уровень: 0.196278| id: 0
494,Active briefs,Active boxer briefs|уровень: 0.380999| id: 493,Cap 1 boxer briefs|уровень: 0.214356| id: 18,Active classic boxers|уровень: 0.162008| id: 0
